aircraft_code,flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,actual_departure,actual_arrival,seats_count,business_count,economy_count,ticket_economy,ticket_comfort,ticket_bisiness,ticket_total,economy_amount,comfort_amount,business_amount,total_amount,fuel_consumption_per_hour,fullness,flight_time_hours,fuel_price_per_ton
733,136119,PG0252,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,AAQ,SVO,Arrived,2017-01-03T10:08:00Z,2017-01-03T11:49:00Z,130,12,118,102,0,11,113,1250400.00,,402600.00,1653000.00,2.6,0.86923076923076923077,1.6666666666666665,51300
733,136120,PG0252,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,AAQ,SVO,Arrived,2017-02-24T10:07:00Z,2017-02-24T11:46:00Z,130,12,118,98,0,11,109,1202800.00,,402600.00,1605400.00,2.6,0.83846153846153846154,1.6666666666666665,51300
733,136122,PG0252,2017-01-08T10:05:00Z,2017-01-08T11:45:00Z,AAQ,SVO,Arrived,2017-01-08T10:08:00Z,2017-01-08T11:48:00Z,130,12,118,87,0,10,97,1065000.00,,366000.00,1431000.00,2.6,0.74615384615384615385,1.6666666666666665,51300
733,136130,PG0252,2017-02-13T10:05:00Z,2017-02-13T11:45:00Z,AAQ,SVO,Arrived,2017-02-13T10:07:00Z,2017-02-13T11:46:00Z,130,12,118,97,0,10,107,1190600.00,,366000.00,1556600.00,2.6,0.82307692307692307692,1.6666666666666665,51300
733,136131,PG0252,2017-01-28T10:05:00Z,2017-01-28T11:45:00Z,AAQ,SVO,Arrived,2017-01-28T10:07:00Z,2017-01-28T11:46:00Z,130,12,118,112,0,12,124,1373600.00,,439200.00,1812800.00,2.6,0.95384615384615384615,1.6666666666666665,51300
733,136132,PG0252,2017-02-15T10:05:00Z,2017-02-15T11:45:00Z,AAQ,SVO,Arrived,2017-02-15T10:09:00Z,2017-02-15T11:48:00Z,130,12,118,104,0,12,116,1274800.00,,439200.00,1714000.00,2.6,0.89230769230769230769,1.6666666666666665,51300
733,136135,PG0252,2017-02-01T10:05:00Z,2017-02-01T11:45:00Z,AAQ,SVO,Arrived,2017-02-01T10:08:00Z,2017-02-01T11:48:00Z,130,12,118,104,0,11,115,1276000.00,,402600.00,1678600.00,2.6,0.88461538461538461538,1.6666666666666665,51300
733,136146,PG0252,2017-02-09T10:05:00Z,2017-02-09T11:45:00Z,AAQ,SVO,Arrived,2017-02-09T10:08:00Z,2017-02-09T11:48:00Z,130,12,118,98,0,11,109,1201600.00,,402600.00,1604200.00,2.6,0.83846153846153846154,1.6666666666666665,51300
733,136159,PG0252,2017-01-04T10:05:00Z,2017-01-04T11:45:00Z,AAQ,SVO,Arrived,2017-01-04T10:07:00Z,2017-01-04T11:45:00Z,130,12,118,103,0,12,115,1261400.00,,439200.00,1700600.00,2.6,0.88461538461538461538,1.6666666666666665,51300
733,136164,PG0252,2017-01-07T10:05:00Z,2017-01-07T11:45:00Z,AAQ,SVO,Arrived,2017-01-07T10:07:00Z,2017-01-07T11:46:00Z,130,12,118,109,0,11,120,1335800.00,,402600.00,1738400.00,2.6,0.92307692307692307692,1.6666666666666665,51300
733,136165,PG0252,2017-02-22T10:05:00Z,2017-02-22T11:45:00Z,AAQ,SVO,Arrived,2017-02-22T10:11:00Z,2017-02-22T11:52:00Z,130,12,118,101,0,9,110,1238200.00,,329400.00,1567600.00,2.6,0.84615384615384615385,1.6666666666666665,51300
733,136172,PG0252,2017-01-15T10:05:00Z,2017-01-15T11:45:00Z,AAQ,SVO,Arrived,2017-01-15T10:05:00Z,2017-01-15T11:44:00Z,130,12,118,99,0,11,110,1215000.00,,402600.00,1617600.00,2.6,0.84615384615384615385,1.6666666666666665,51300
733,136178,PG0252,2017-01-29T10:05:00Z,2017-01-29T11:45:00Z,AAQ,SVO,Arrived,2017-01-29T10:10:00Z,2017-01-29T11:49:00Z,130,12,118,90,0,9,99,1105200.00,,329400.00,1434600.00,2.6,0.76153846153846153846,1.6666666666666665,51300
733,136181,PG0252,2017-01-31T10:05:00Z,2017-01-31T11:45:00Z,AAQ,SVO,Arrived,2017-01-31T10:05:00Z,2017-01-31T11:44:00Z,130,12,118,108,0,10,118,1323600.00,,366000.00,1689600.00,2.6,0.90769230769230769231,1.6666666666666665,51300
733,136185,PG0252,2017-01-14T10:05:00Z,2017-01-14T11:45:00Z,AAQ,SVO,Arrived,2017-01-14T10:06:00Z,2017-01-14T11:49:00Z,130,12,118,94,0,10,104,1154000.00,,366000.00,1520000.00,2.6,0.80000000000000000000,1.6666666666666665,51300
733,136202,PG0252,2017-01-05T10:05:00Z,2017-01-05T11:45:00Z,AAQ,SVO,Arrived,2017-01-05T10:07:00Z,2017-01-05T11:49:00Z,130,12,118,89,0,11,100,1093000.00,,402600.00,1495600.00,2.6,0.76923076923076923077,1.6666666666666665,51300
733,136204,PG0252,2017-02-23T10:05:00Z,2017-02-23T11:45:00Z,AAQ,SVO,Arrived,2017-02-23T10:06:00Z,2017-02-23T11:46:00Z,130,12,118,101,0,6,107,1238200.00,,219600.00,1457800.00,2.6,0.82307692307692307692,1.6666666666666665,51300
733,136209,PG0252,2017-01-06T10:05:00Z,2017-01-06T11:45:00Z,AAQ,SVO,Arrived,2017-01-06T10:09:00Z,2017-01-06T11:49:00Z,130,12,118,102,0,10,112,1249200.00,,366000.00,1615200.00,2.6,0.86153846153846153846,1.6666666666666665,51300
733,136215,PG0252,2017-02-28T10:05:00Z,2017-02-28T11:45:00Z,AAQ,SVO,Arrived,2017-02-28T10:09:00Z,2017-02-28T11:49:00Z,130,12,118,103,0,11,114,1261400.00,,402600.00,1664000.00,2.6,0.87692307692307692308,1.6666666666666665,51300
733,136226,PG0252,2017-01-30T10:05:00Z,2017-01-30T11:45:00Z,AAQ,SVO,Arrived,2017-01-30T10:08:00Z,2017-01-30T11:48:00Z,130,12,118,118,0,12,130,1446800.00,,439200.00,1886000.00,2.6,1.00000000000000000000,1.6666666666666665,51300
733,136249,PG0252,2017-02-14T10:05:00Z,2017-02-14T11:45:00Z,AAQ,SVO,Arrived,2017-02-14T10:08:00Z,2017-02-14T11:46:00Z,130,12,118,111,0,12,123,1361400.00,,439200.00,1800600.00,2.6,0.94615384615384615385,1.6666666666666665,51300
733,136250,PG0252,2017-02-08T10:05:00Z,2017-02-08T11:45:00Z,AAQ,SVO,Arrived,2017-02-08T10:06:00Z,2017-02-08T11:47:00Z,130,12,118,91,0,8,99,1115000.00,,292800.00,1407800.00,2.6,0.76153846153846153846,1.6666666666666665,51300
733,136264,PG0252,2017-02-18T10:05:00Z,2017-02-18T11:45:00Z,AAQ,SVO,Arrived,2017-02-18T10:07:00Z,2017-02-18T11:47:00Z,130,12,118,105,0,11,116,1288200.00,,402600.00,1690800.00,2.6,0.89230769230769230769,1.6666666666666665,51300
733,136266,PG0252,2017-02-27T10:05:00Z,2017-02-27T11:45:00Z,AAQ,SVO,Arrived,2017-02-27T10:08:00Z,2017-02-27T11:48:00Z,130,12,118,98,0,10,108,1200400.00,,366000.00,1566400.00,2.6,0.83076923076923076923,1.6666666666666665,51300
733,136268,PG0252,2017-02-16T10:05:00Z,2017-02-16T11:45:00Z,AAQ,SVO,Arrived,2017-02-16T10:08:00Z,2017-02-16T11:49:00Z,130,12,118,104,0,11,115,1273600.00,,402600.00,1676200.00,2.6,0.88461538461538461538,1.6666666666666665,51300
733,136269,PG0252,2017-02-11T10:05:00Z,2017-02-11T11:45:00Z,AAQ,SVO,Arrived,2017-02-11T10:13:00Z,2017-02-11T11:53:00Z,130,12,118,98,0,11,109,1202800.00,,402600.00,1605400.00,2.6,0.83846153846153846154,1.6666666666666665,51300
733,136270,PG0252,2017-02-12T10:05:00Z,2017-02-12T11:45:00Z,AAQ,SVO,Arrived,2017-02-12T10:12:00Z,2017-02-12T11:51:00Z,130,12,118,100,0,11,111,1226000.00,,402600.00,1628600.00,2.6,0.85384615384615384615,1.6666666666666665,51300
733,136275,PG0252,2017-01-13T10:05:00Z,2017-01-13T11:45:00Z,AAQ,SVO,Arrived,2017-01-13T10:08:00Z,2017-01-13T11:46:00Z,130,12,118,113,0,12,125,1385800.00,,439200.00,1825000.00,2.6,0.96153846153846153846,1.6666666666666665,51300
733,136282,PG0252,2017-01-16T10:05:00Z,2017-01-16T11:45:00Z,AAQ,SVO,Arrived,2017-01-16T10:07:00Z,2017-01-16T11:48:00Z,130,12,118,97,0,9,106,1189400.00,,329400.00,1518800.00,2.6,0.81538461538461538462,1.6666666666666665,51300
733,136284,PG0252,2017-02-07T10:05:00Z,2017-02-07T11:45:00Z,AAQ,SVO,Arrived,2017-02-07T10:07:00Z,2017-02-07T11:48:00Z,130,12,118,107,0,10,117,1311400.00,,366000.00,1677400.00,2.6,0.90000000000000000000,1.6666666666666665,51300
733,136293,PG0252,2017-01-23T10:05:00Z,2017-01-23T11:45:00Z,AAQ,SVO,Arrived,2017-01-23T10:09:00Z,2017-01-23T11:48:00Z,130,12,118,102,0,12,114,1250400.00,,439200.00,1689600.00,2.6,0.87692307692307692308,1.6666666666666665,51300
733,136310,PG0252,2017-01-22T10:05:00Z,2017-01-22T11:45:00Z,AAQ,SVO,Arrived,2017-01-22T10:07:00Z,2017-01-22T11:47:00Z,130,12,118,108,0,9,117,1324800.00,,329400.00,1654200.00,2.6,0.90000000000000000000,1.6666666666666665,51300
733,136316,PG0252,2017-01-12T10:05:00Z,2017-01-12T11:45:00Z,AAQ,SVO,Arrived,2017-01-12T10:07:00Z,2017-01-12T11:47:00Z,130,12,118,118,0,12,130,1446800.00,,439200.00,1886000.00,2.6,1.00000000000000000000,1.6666666666666665,51300
733,136320,PG0252,2017-02-19T10:05:00Z,2017-02-19T11:45:00Z,AAQ,SVO,Arrived,2017-02-19T10:05:00Z,2017-02-19T11:45:00Z,130,12,118,96,0,10,106,1178400.00,,366000.00,1544400.00,2.6,0.81538461538461538462,1.6666666666666665,51300
733,136322,PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,AAQ,SVO,Arrived,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,130,12,118,98,0,10,108,1201600.00,,366000.00,1567600.00,2.6,0.83076923076923076923,1.6666666666666665,51300
733,136345,PG0252,2017-01-24T10:05:00Z,2017-01-24T11:45:00Z,AAQ,SVO,Arrived,2017-01-24T13:32:00Z,2017-01-24T15:12:00Z,130,12,118,100,0,8,108,1224800.00,,292800.00,1517600.00,2.6,0.83076923076923076923,1.6666666666666665,51300
733,136348,PG0252,2017-02-10T10:05:00Z,2017-02-10T11:45:00Z,AAQ,SVO,Arrived,2017-02-10T10:05:00Z,2017-02-10T11:45:00Z,130,12,118,108,0,12,120,1323600.00,,439200.00,1762800.00,2.6,0.92307692307692307692,1.6666666666666665,51300
733,136351,PG0252,2017-02-26T10:05:00Z,2017-02-26T11:45:00Z,AAQ,SVO,Arrived,2017-02-26T10:13:00Z,2017-02-26T11:53:00Z,130,12,118,94,0,11,105,1152800.00,,402600.00,1555400.00,2.6,0.80769230769230769231,1.6666666666666665,51300
733,136360,PG0252,2017-02-05T10:05:00Z,2017-02-05T11:45:00Z,AAQ,SVO,Arrived,2017-02-05T10:08:00Z,2017-02-05T11:48:00Z,130,12,118,86,0,11,97,1052800.00,,402600.00,1455400.00,2.6,0.74615384615384615385,1.6666666666666665,51300
733,136366,PG0252,2017-01-11T10:05:00Z,2017-01-11T11:45:00Z,AAQ,SVO,Arrived,2017-01-11T10:08:00Z,2017-01-11T11:47:00Z,130,12,118,92,0,11,103,1124800.00,,402600.00,1527400.00,2.6,0.79230769230769230769,1.6666666666666665,51300
733,136383,PG0252,2017-01-25T10:05:00Z,2017-01-25T11:45:00Z,AAQ,SVO,Arrived,2017-01-25T10:09:00Z,2017-01-25T11:51:00Z,130,12,118,98,0,8,106,1200400.00,,292800.00,1493200.00,2.6,0.81538461538461538462,1.6666666666666665,51300
733,136387,PG0252,2017-01-19T10:05:00Z,2017-01-19T11:45:00Z,AAQ,SVO,Arrived,2017-01-19T10:08:00Z,2017-01-19T11:47:00Z,130,12,118,109,0,12,121,1335800.00,,439200.00,1775000.00,2.6,0.93076923076923076923,1.6666666666666665,51300
733,136389,PG0252,2017-01-18T10:05:00Z,2017-01-18T11:45:00Z,AAQ,SVO,Arrived,2017-01-18T10:10:00Z,2017-01-18T11:50:00Z,130,12,118,117,0,12,129,1434600.00,,439200.00,1873800.00,2.6,0.99230769230769230769,1.6666666666666665,51300
733,136403,PG0252,2017-02-20T10:05:00Z,2017-02-20T11:45:00Z,AAQ,SVO,Arrived,2017-02-20T10:06:00Z,2017-02-20T11:46:00Z,130,12,118,117,0,12,129,1434600.00,,439200.00,1873800.00,2.6,0.99230769230769230769,1.6666666666666665,51300
733,136411,PG0252,2017-02-04T10:05:00Z,2017-02-04T11:45:00Z,AAQ,SVO,Arrived,2017-02-04T10:06:00Z,2017-02-04T11:46:00Z,130,12,118,100,0,10,110,1224800.00,,366000.00,1590800.00,2.6,0.84615384615384615385,1.6666666666666665,51300
733,136420,PG0252,2017-01-01T10:05:00Z,2017-01-01T11:45:00Z,AAQ,SVO,Arrived,2017-01-01T10:09:00Z,2017-01-01T11:47:00Z,130,12,118,93,0,11,104,1139400.00,,402600.00,1542000.00,2.6,0.80000000000000000000,1.6666666666666665,51300
733,136423,PG0252,2017-01-10T10:05:00Z,2017-01-10T11:45:00Z,AAQ,SVO,Arrived,2017-01-10T10:12:00Z,2017-01-10T11:52:00Z,130,12,118,118,0,11,129,1446800.00,,402600.00,1849400.00,2.6,0.99230769230769230769,1.6666666666666665,51300
733,136428,PG0252,2017-01-21T10:05:00Z,2017-01-21T11:45:00Z,AAQ,SVO,Arrived,2017-01-21T10:08:00Z,2017-01-21T11:47:00Z,130,12,118,104,0,11,115,1276000.00,,402600.00,1678600.00,2.6,0.88461538461538461538,1.6666666666666665,51300
733,136436,PG0252,2017-01-26T10:05:00Z,2017-01-26T11:45:00Z,AAQ,SVO,Arrived,2017-01-26T10:08:00Z,2017-01-26T11:47:00Z,130,12,118,112,0,12,124,1372400.00,,439200.00,1811600.00,2.6,0.95384615384615384615,1.6666666666666665,51300
733,136439,PG0252,2017-02-25T10:05:00Z,2017-02-25T11:45:00Z,AAQ,SVO,Arrived,2017-02-25T10:08:00Z,2017-02-25T11:48:00Z,130,12,118,106,0,11,117,1299200.00,,402600.00,1701800.00,2.6,0.90000000000000000000,1.6666666666666665,51300
733,136441,PG0252,2017-02-03T10:05:00Z,2017-02-03T11:45:00Z,AAQ,SVO,Arrived,2017-02-03T10:07:00Z,2017-02-03T11:47:00Z,130,12,118,117,0,11,128,1434600.00,,402600.00,1837200.00,2.6,0.98461538461538461538,1.6666666666666665,51300
733,136452,PG0252,2017-02-17T10:05:00Z,2017-02-17T11:45:00Z,AAQ,SVO,Arrived,2017-02-17T10:08:00Z,2017-02-17T11:48:00Z,130,12,118,98,0,11,109,1200400.00,,402600.00,1603000.00,2.6,0.83846153846153846154,1.6666666666666665,51300
733,136458,PG0252,2017-01-02T10:05:00Z,2017-01-02T11:45:00Z,AAQ,SVO,Arrived,2017-01-02T10:07:00Z,2017-01-02T11:46:00Z,130,12,118,101,0,9,110,1239400.00,,329400.00,1568800.00,2.6,0.84615384615384615385,1.6666666666666665,51300
733,136463,PG0252,2017-01-20T10:05:00Z,2017-01-20T11:45:00Z,AAQ,SVO,Arrived,2017-01-20T10:06:00Z,2017-01-20T11:45:00Z,130,12,118,110,0,12,122,1349200.00,,439200.00,1788400.00,2.6,0.93846153846153846154,1.6666666666666665,51300
733,136464,PG0252,2017-01-09T10:05:00Z,2017-01-09T11:45:00Z,AAQ,SVO,Arrived,2017-01-09T10:07:00Z,2017-01-09T11:47:00Z,130,12,118,93,0,7,100,1141800.00,,256200.00,1398000.00,2.6,0.76923076923076923077,1.6666666666666665,51300
733,136471,PG0252,2017-01-17T10:05:00Z,2017-01-17T11:45:00Z,AAQ,SVO,Arrived,2017-01-17T10:11:00Z,2017-01-17T11:51:00Z,130,12,118,108,0,12,120,1323600.00,,439200.00,1762800.00,2.6,0.92307692307692307692,1.6666666666666665,51300
733,136479,PG0252,2017-02-21T10:05:00Z,2017-02-21T11:45:00Z,AAQ,SVO,Arrived,2017-02-21T10:08:00Z,2017-02-21T11:47:00Z,130,12,118,112,0,10,122,1372400.00,,366000.00,1738400.00,2.6,0.93846153846153846154,1.6666666666666665,51300
733,136485,PG0252,2017-01-27T10:05:00Z,2017-01-27T11:45:00Z,AAQ,SVO,Arrived,2017-01-27T10:07:00Z,2017-01-27T11:47:00Z,130,12,118,97,0,9,106,1190600.00,,329400.00,1520000.00,2.6,0.81538461538461538462,1.6666666666666665,51300
733,136486,PG0252,2017-02-02T10:05:00Z,2017-02-02T11:45:00Z,AAQ,SVO,Arrived,2017-02-02T10:07:00Z,2017-02-02T11:48:00Z,130,12,118,99,0,8,107,1212600.00,,292800.00,1505400.00,2.6,0.82307692307692307692,1.6666666666666665,51300
SU9,136571,PG0480,2017-01-25T09:25:00Z,2017-01-25T10:15:00Z,AAQ,EGO,Arrived,2017-01-25T09:28:00Z,2017-01-25T10:18:00Z,97,12,85,83,0,12,95,525900.00,,226800.00,752700.00,1.8,0.97938144329896907216,0.8333333333333334,51300
